component,powertrain,size,euro_class,value
Benzene,BEV,9m,1,0.0
Lead,ICEV-g,13m-city-double,5,0.0
Lead,ICEV-g,13m-city-double,4,0.0
Lead,ICEV-g,13m-city-double,3,0.0
Lead,ICEV-g,13m-city-double,2,0.0
Lead,ICEV-g,9m,6,0.0
Lead,ICEV-g,9m,5,0.0
Lead,ICEV-g,9m,4,0.0
Lead,ICEV-g,9m,3,0.0
Lead,ICEV-g,9m,2,0.0
Lead,ICEV-d,9m,3,0.0
Lead,ICEV-d,13m-city-double,3,0.0
Lead,ICEV-d,13m-city,3,0.0
Lead,ICEV-d,13m-city,2,0.0
Lead,ICEV-d,13m-city,1,0.0
Lead,ICEV-g,13m-city-double,6,0.0
Lead,ICEV-d,13m-city,0,0.0
Benzene,ICEV-g,13m-city,5,0.0
Benzene,ICEV-g,13m-city,4,0.0
Benzene,ICEV-g,13m-city,3,0.0
Benzene,ICEV-g,13m-city,2,0.0
Lead,ICEV-g,13m-city,6,0.0
Lead,ICEV-g,13m-city,5,0.0
Lead,ICEV-d,18m,6,0.0
Lead,ICEV-g,13m-city,4,0.0
Lead,ICEV-g,13m-city,3,0.0
Lead,ICEV-g,13m-city,2,0.0
Lead,ICEV-d,9m,4,0.0
Lead,ICEV-d,13m-city-double,4,0.0
Lead,ICEV-d,13m-city-double,6,0.0
Lead,ICEV-d,9m,6,0.0
Benzene,ICEV-g,13m-city,6,0.0
Lead,ICEV-d,18m,2,0.0
Benzene,ICEV-g,9m,2,0.0
Benzene,ICEV-g,9m,4,0.0
Lead,ICEV-d,18m,1,0.0
Lead,ICEV-d,13m-city-double,0,0.0
Lead,ICEV-d,9m,0,0.0
Lead,ICEV-d,18m,0,0.0
Benzene,ICEV-g,18m,6,0.0
Benzene,ICEV-g,18m,5,0.0
Lead,ICEV-d,9m,1,0.0
Lead,ICEV-d,18m,4,0.0
Lead,ICEV-d,13m-city-double,1,0.0
Benzene,ICEV-g,18m,4,0.0
Benzene,ICEV-g,18m,3,0.0
Benzene,ICEV-g,18m,2,0.0
Lead,ICEV-g,18m,6,0.0
Lead,ICEV-g,18m,5,0.0
Benzene,ICEV-g,9m,3,0.0
Lead,ICEV-g,18m,4,0.0
Lead,ICEV-g,18m,2,0.0
Lead,ICEV-d,13m-city,6,0.0
Lead,ICEV-d,9m,2,0.0
Lead,ICEV-d,13m-city-double,2,0.0
Lead,ICEV-d,13m-city,5,0.0
Lead,ICEV-d,13m-city,4,0.0
Lead,ICEV-d,18m,5,0.0
Benzene,ICEV-g,13m-city-double,6,0.0
Benzene,ICEV-g,13m-city-double,5,0.0
Benzene,ICEV-g,13m-city-double,4,0.0
Benzene,ICEV-g,13m-city-double,3,0.0
Benzene,ICEV-g,13m-city-double,2,0.0
Benzene,ICEV-g,9m,6,0.0
Benzene,ICEV-g,9m,5,0.0
Lead,ICEV-g,18m,3,0.0
Lead,ICEV-d,13m-city-double,5,0.0
Lead,ICEV-d,9m,5,0.0
Lead,ICEV-g,13m-coach,2,0.0
Cadmium,ICEV-d,9m,1,0.0
Mercury,ICEV-d,9m,1,0.0
Chromium VI,ICEV-d,9m,1,0.0
Chromium,ICEV-d,9m,1,0.0
Nickel,ICEV-d,9m,1,0.0
Copper,ICEV-d,9m,1,0.0
Zinc,ICEV-d,9m,1,0.0
Selenium,ICEV-d,9m,1,0.0
Arsenic,ICEV-d,9m,1,0.0
PAH polycyclic aromatic hydrocarbons,ICEV-d,9m,1,0.0
Styrene,ICEV-d,9m,1,0.0
Acrolein,ICEV-d,9m,1,0.0
Methyl ethyl ketone,ICEV-d,9m,1,0.0
Acetone,ICEV-d,9m,1,0.0
Lead,ICEV-d,13m-coach-double,6,0.0
Benzaldehyde,ICEV-d,9m,1,0.0
Formaldehyde,ICEV-d,9m,1,0.0
o-Xylene,ICEV-d,9m,1,0.0
m-Xylene,ICEV-d,9m,1,0.0
Toluene,ICEV-d,9m,1,0.0
1-Pentene,ICEV-d,9m,1,0.0
Propene,ICEV-d,9m,1,0.0
Ethene,ICEV-d,9m,1,0.0
Heptane,ICEV-d,9m,1,0.0
Cyclohexane,ICEV-d,9m,1,0.0
Hexane,ICEV-d,9m,1,0.0
Pentane,ICEV-d,9m,1,0.0
Butane,ICEV-d,9m,1,0.0
Propane,ICEV-d,9m,1,0.0
Ethane,ICEV-d,9m,1,0.0
Acetaldehyde,ICEV-d,9m,1,0.0
Lead,ICEV-g,13m-coach,1,0.0
Lead,ICEV-d,13m-coach,6,0.0
Lead,ICEV-d,13m-coach,5,0.0
Benzene,ICEV-g,13m-coach,4,0.0
Benzene,ICEV-g,13m-coach,3,0.0
Benzene,ICEV-g,13m-coach,2,0.0
Benzene,ICEV-g,13m-coach,1,0.0
Lead,ICEV-g,13m-coach-double,6,0.0
Lead,ICEV-g,13m-coach-double,5,0.0
Benzene,ICEV-g,13m-coach,5,0.0
Lead,ICEV-g,13m-coach-double,4,0.0
Lead,ICEV-g,13m-coach-double,2,0.0
Lead,ICEV-g,13m-coach-double,1,0.0
Lead,ICEV-g,13m-coach,6,0.0
Lead,ICEV-g,13m-coach,5,0.0
Lead,ICEV-g,13m-coach,4,0.0
Lead,ICEV-g,13m-coach,3,0.0
Lead,ICEV-g,13m-coach-double,3,0.0
Lead,ICEV-d,13m-coach-double,5,0.0
Benzene,ICEV-g,13m-coach,6,0.0
Benzene,ICEV-g,13m-coach-double,2,0.0
Lead,ICEV-d,13m-coach-double,4,0.0
Lead,ICEV-d,13m-coach,4,0.0
Lead,ICEV-d,13m-coach-double,3,0.0
Lead,ICEV-d,13m-coach,3,0.0
Lead,ICEV-d,13m-coach-double,2,0.0
Lead,ICEV-d,13m-coach,2,0.0
Benzene,ICEV-g,13m-coach-double,1,0.0
Lead,ICEV-d,13m-coach-double,1,0.0
Benzene,ICEV-g,13m-coach-double,6,0.0
Benzene,ICEV-g,13m-coach-double,5,0.0
Benzene,ICEV-g,13m-coach-double,4,0.0
Benzene,ICEV-g,13m-coach-double,3,0.0
Lead,ICEV-d,13m-coach,1,0.0
Lead,ICEV-d,18m,3,0.0
Benzene,ICEV-d,13m-city,4,2.66e-07
Benzene,ICEV-d,9m,4,2.66e-07
Benzene,ICEV-d,13m-city,5,2.74e-07
Benzene,ICEV-d,9m,5,2.74e-07
Benzene,ICEV-d,13m-city-double,4,3.26e-07
Benzene,ICEV-d,18m,4,3.26e-07
Benzene,ICEV-d,18m,5,3.36e-07
Benzene,ICEV-d,13m-city-double,5,3.36e-07
Methane,ICEV-d,9m,4,3.82e-07
Methane,ICEV-d,13m-city,4,3.82e-07
Methane,ICEV-d,9m,5,3.93e-07
Methane,ICEV-d,13m-city,5,3.93e-07
Methane,ICEV-d,13m-city-double,4,4.69e-07
Methane,ICEV-d,18m,4,4.69e-07
Methane,ICEV-d,13m-city-double,5,4.82e-07
Methane,ICEV-d,18m,5,4.82e-07
Benzene,ICEV-d,13m-city,6,3.7e-06
Benzene,ICEV-d,9m,6,3.7e-06
Benzene,ICEV-d,18m,6,4.19e-06
Benzene,ICEV-d,13m-city-double,6,4.19e-06
Methane,ICEV-d,13m-city,6,5.32e-06
Methane,ICEV-d,9m,6,5.32e-06
Methane,ICEV-d,13m-city-double,6,6.03e-06
Methane,ICEV-d,18m,6,6.03e-06
Non-methane hydrocarbon,ICEV-d,13m-city,4,1.55e-05
Non-methane hydrocarbon,ICEV-d,9m,4,1.55e-05
Hydrocarbon,ICEV-d,9m,4,1.59e-05
Hydrocarbon,ICEV-d,13m-city,4,1.59e-05
Non-methane hydrocarbon,ICEV-d,13m-city,5,1.6e-05
Non-methane hydrocarbon,ICEV-d,9m,5,1.6e-05
Hydrocarbon,ICEV-d,9m,5,1.64e-05
Hydrocarbon,ICEV-d,13m-city,5,1.64e-05
Non-methane hydrocarbon,ICEV-d,18m,4,1.91e-05
Non-methane hydrocarbon,ICEV-d,13m-city-double,4,1.91e-05
Hydrocarbon,ICEV-d,18m,4,1.95e-05
Hydrocarbon,ICEV-d,13m-city-double,4,1.95e-05
Non-methane hydrocarbon,ICEV-d,13m-city-double,5,1.96e-05
Non-methane hydrocarbon,ICEV-d,18m,5,1.96e-05
Hydrocarbon,ICEV-d,18m,5,2.01e-05
Hydrocarbon,ICEV-d,13m-city-double,5,2.01e-05
Particulate matters 2.5,ICEV-d,9m,4,2.98e-05
Particulate matters 2.5,ICEV-d,9m,5,2.98e-05
Particulate matters 2.5,ICEV-d,13m-city,4,2.98e-05
Particulate matters 2.5,ICEV-d,13m-city,5,2.98e-05
Ammonia,ICEV-d,13m-city-double,6,3.05e-05
Ammonia,ICEV-d,18m,6,3.05e-05
Particulate matters 2.5,ICEV-d,9m,6,3.14e-05
Particulate matters 2.5,ICEV-d,13m-city,6,3.14e-05
Particulate matters 2.5,ICEV-d,13m-city-double,4,3.29e-05
Particulate matters 2.5,ICEV-d,18m,4,3.29e-05
Particulate matters 2.5,ICEV-d,13m-city-double,5,3.32e-05
Particulate matters 2.5,ICEV-d,18m,5,3.32e-05
Ammonia,ICEV-d,18m,0,3.37e-05
Ammonia,ICEV-d,13m-city-double,0,3.37e-05
Ammonia,ICEV-d,18m,4,3.58e-05
Ammonia,ICEV-d,13m-city-double,4,3.58e-05
Particulate matters 2.5,ICEV-d,18m,6,3.62e-05
Particulate matters 2.5,ICEV-d,13m-city-double,6,3.62e-05
Ammonia,ICEV-d,13m-city,6,4.17e-05
Ammonia,ICEV-d,9m,6,4.17e-05
Ammonia,ICEV-d,13m-city,0,4.78e-05
Ammonia,ICEV-d,9m,0,4.78e-05
Ammonia,ICEV-d,9m,4,5.2e-05
Ammonia,ICEV-d,13m-city,4,5.2e-05
Benzene,ICEV-d,13m-city,3,6.42e-05
Benzene,ICEV-d,9m,3,6.42e-05
Benzene,ICEV-d,13m-city,2,7.56e-05
Benzene,ICEV-d,9m,2,7.56e-05
Benzene,ICEV-d,18m,3,8.77e-05
Benzene,ICEV-d,13m-city-double,3,8.77e-05
Methane,ICEV-d,13m-city,3,9.23e-05
Methane,ICEV-d,9m,3,9.23e-05
Ammonia,ICEV-d,13m-city-double,1,0.000100488
Ammonia,ICEV-d,18m,1,0.000100488
Benzene,ICEV-d,13m-city-double,2,0.000100719
Benzene,ICEV-d,18m,2,0.000100719
Ammonia,ICEV-d,18m,3,0.0001028
Ammonia,ICEV-d,13m-city-double,3,0.0001028
Ammonia,ICEV-d,18m,2,0.000105099
Ammonia,ICEV-d,13m-city-double,2,0.000105099
Methane,ICEV-d,13m-city,2,0.000108575
Methane,ICEV-d,9m,2,0.000108575
Benzene,ICEV-d,9m,1,0.000117001
Benzene,ICEV-d,13m-city,1,0.000117001
Methane,ICEV-d,13m-city-double,3,0.000125989
Methane,ICEV-d,18m,3,0.000125989
Ammonia,ICEV-d,13m-city,1,0.000142827
Ammonia,ICEV-d,9m,1,0.000142827
Ammonia,ICEV-d,18m,5,0.000143323
Ammonia,ICEV-d,13m-city-double,5,0.000143323
Methane,ICEV-d,13m-city-double,2,0.000144745
Methane,ICEV-d,18m,2,0.000144745
Ammonia,ICEV-d,9m,3,0.000145963
Ammonia,ICEV-d,13m-city,3,0.000145963
Ammonia,ICEV-d,13m-city,2,0.000150501
Ammonia,ICEV-d,9m,2,0.000150501
Benzene,ICEV-d,13m-city-double,1,0.000158483
Benzene,ICEV-d,18m,1,0.000158483
Methane,ICEV-d,9m,1,0.000168146
Methane,ICEV-d,13m-city,1,0.000168146
Dinitrogen oxide,ICEV-d,18m,6,0.000168349
Dinitrogen oxide,ICEV-d,13m-city-double,6,0.000168349
Dinitrogen oxide,ICEV-d,18m,3,0.000178576
Dinitrogen oxide,ICEV-d,13m-city-double,3,0.000178576
Dinitrogen oxide,ICEV-d,13m-city-double,4,0.000197982
Dinitrogen oxide,ICEV-d,18m,4,0.000197982
Dinitrogen oxide,ICEV-d,13m-city-double,0,0.000202381
Dinitrogen oxide,ICEV-d,18m,0,0.000202381
Ammonia,ICEV-d,13m-city,5,0.000206847
Ammonia,ICEV-d,9m,5,0.000206847
Non-methane hydrocarbon,ICEV-d,13m-city,6,0.000216372
Non-methane hydrocarbon,ICEV-d,9m,6,0.000216372
Hydrocarbon,ICEV-d,9m,6,0.000221692
Hydrocarbon,ICEV-d,13m-city,6,0.000221692
Methane,ICEV-d,13m-city-double,1,0.00022776
Methane,ICEV-d,18m,1,0.00022776
Dinitrogen oxide,ICEV-d,13m-city,6,0.000230547
Dinitrogen oxide,ICEV-d,9m,6,0.000230547
Non-methane hydrocarbon,ICEV-d,18m,6,0.00024503
Non-methane hydrocarbon,ICEV-d,13m-city-double,6,0.00024503
Hydrocarbon,ICEV-d,18m,6,0.000251055
Hydrocarbon,ICEV-d,13m-city-double,6,0.000251055
Dinitrogen oxide,ICEV-d,13m-city,3,0.000253557
Dinitrogen oxide,ICEV-d,9m,3,0.000253557
Dinitrogen oxide,ICEV-d,18m,2,0.000282326
Dinitrogen oxide,ICEV-d,13m-city-double,2,0.000282326
Dinitrogen oxide,ICEV-d,13m-city,0,0.000287059
Dinitrogen oxide,ICEV-d,9m,0,0.000287059
Dinitrogen oxide,ICEV-d,13m-city,4,0.000287451
Dinitrogen oxide,ICEV-d,9m,4,0.000287451
Particulate matters 2.5,ICEV-g,9m,4,0.000354762
Particulate matters 2.5,ICEV-g,13m-city,4,0.000354762
Particulate matters 2.5,ICEV-g,13m-city-double,4,0.000376194
Particulate matters 2.5,ICEV-g,18m,4,0.000376194
Benzene,ICEV-d,13m-coach,6,0.000380253
Dinitrogen oxide,ICEV-d,9m,2,0.00040429
Dinitrogen oxide,ICEV-d,13m-city,2,0.00040429
Particulate matters 2.5,ICEV-g,13m-city-double,5,0.000406425
Particulate matters 2.5,ICEV-g,18m,5,0.000406425
Particulate matters 2.5,ICEV-g,9m,6,0.000406425
Particulate matters 2.5,ICEV-g,9m,5,0.000406425
Particulate matters 2.5,ICEV-g,13m-city-double,6,0.000406425
Particulate matters 2.5,ICEV-g,13m-city,5,0.000406425
Particulate matters 2.5,ICEV-g,13m-city,6,0.000406425
Particulate matters 2.5,ICEV-g,18m,6,0.000406425
Nitrogen dioxide,ICEV-d,13m-city,6,0.000406451
Nitrogen dioxide,ICEV-d,9m,6,0.000406451
Benzene,ICEV-d,13m-coach,4,0.000413596
Dinitrogen oxide,ICEV-d,18m,1,0.000415811
Dinitrogen oxide,ICEV-d,13m-city-double,1,0.000415811
Benzene,ICEV-d,13m-coach,5,0.000423478
Benzene,ICEV-d,13m-coach-double,6,0.000430658
Benzene,ICEV-d,13m-coach-double,4,0.000491486
Benzene,ICEV-d,13m-coach-double,5,0.000504947
Nitrogen dioxide,ICEV-d,13m-city-double,6,0.000536456
Nitrogen dioxide,ICEV-d,18m,6,0.000536456
Methane,ICEV-d,13m-coach,6,0.000546471
Benzene,ICEV-d,18m,0,0.000552135
Benzene,ICEV-d,13m-city-double,0,0.000552135
Dinitrogen oxide,ICEV-d,13m-city,1,0.00059101
Dinitrogen oxide,ICEV-d,9m,1,0.00059101
Methane,ICEV-d,13m-coach,4,0.00059439
Methane,ICEV-d,13m-coach,5,0.000608591
Methane,ICEV-d,13m-coach-double,6,0.00061891
Dinitrogen oxide,ICEV-d,18m,5,0.000651216
Dinitrogen oxide,ICEV-d,13m-city-double,5,0.000651216
Methane,ICEV-d,13m-coach-double,4,0.000706327
Methane,ICEV-d,13m-coach-double,5,0.000725673
Methane,ICEV-d,13m-city-double,0,0.000793487
Methane,ICEV-d,18m,0,0.000793487
Benzene,ICEV-d,13m-city,0,0.000836996
Benzene,ICEV-d,9m,0,0.000836996
Dinitrogen oxide,ICEV-d,13m-city,5,0.000939846
Dinitrogen oxide,ICEV-d,9m,5,0.000939846
Non-methane hydrocarbon,ICEV-g,13m-city-double,6,0.000962595
Non-methane hydrocarbon,ICEV-g,18m,6,0.000962595
Non-methane hydrocarbon,ICEV-g,13m-city,6,0.000962595
Non-methane hydrocarbon,ICEV-g,9m,6,0.000962595
Methane,ICEV-d,13m-city,0,0.001202868
Methane,ICEV-d,9m,0,0.001202868
Particulate matters 2.5,ICEV-g,13m-city,3,0.001367893
Particulate matters 2.5,ICEV-g,9m,3,0.001367893
Nitrogen oxides,ICEV-d,13m-city,6,0.00145161
Nitrogen oxides,ICEV-d,9m,6,0.00145161
Particulate matters 2.5,ICEV-g,13m-city-double,3,0.001475071
Particulate matters 2.5,ICEV-g,18m,3,0.001475071
Particulate matters 2.5,ICEV-g,13m-city-double,2,0.001664703
Particulate matters 2.5,ICEV-g,18m,2,0.001664703
Carbon monoxide,ICEV-d,13m-city-double,6,0.001766666
Carbon monoxide,ICEV-d,18m,6,0.001766666
Carbon monoxide,ICEV-d,13m-city,6,0.001865179
Carbon monoxide,ICEV-d,9m,6,0.001865179
Nitrogen oxides,ICEV-d,13m-city-double,6,0.001915915
Nitrogen oxides,ICEV-d,18m,6,0.001915915
Particulate matters 2.5,ICEV-d,13m-city,3,0.001931572
Particulate matters 2.5,ICEV-d,9m,3,0.001931572
Particulate matters 2.5,ICEV-g,13m-city,2,0.001940835
Particulate matters 2.5,ICEV-g,9m,2,0.001940835
Non-methane hydrocarbon,ICEV-g,18m,5,0.001966094
Non-methane hydrocarbon,ICEV-g,13m-city-double,5,0.001966094
Non-methane hydrocarbon,ICEV-g,9m,5,0.001966094
Non-methane hydrocarbon,ICEV-g,13m-city,5,0.001966094
Particulate matters 2.5,ICEV-d,18m,3,0.002082917
Particulate matters 2.5,ICEV-d,13m-city-double,3,0.002082917
Particulate matters 2.5,ICEV-d,13m-city-double,2,0.002285214
Particulate matters 2.5,ICEV-d,18m,2,0.002285214
Carbon monoxide,ICEV-d,13m-city,5,0.002389746
Carbon monoxide,ICEV-d,9m,5,0.002389746
Carbon monoxide,ICEV-d,13m-city-double,5,0.002523763
Carbon monoxide,ICEV-d,18m,5,0.002523763
Particulate matters 2.5,ICEV-d,9m,2,0.002664273
Particulate matters 2.5,ICEV-d,13m-city,2,0.002664273
Carbon monoxide,ICEV-d,13m-city,4,0.002724506
Carbon monoxide,ICEV-d,9m,4,0.002724506
Carbon monoxide,ICEV-d,18m,4,0.002813158
Carbon monoxide,ICEV-d,13m-city-double,4,0.002813158
Ammonia,ICEV-d,13m-coach-double,1,0.0029
Ammonia,ICEV-d,13m-coach-double,4,0.0029
Ammonia,ICEV-d,13m-coach,4,0.0029
Ammonia,ICEV-d,13m-coach,2,0.0029
Ammonia,ICEV-d,13m-coach,1,0.0029
Ammonia,ICEV-d,13m-coach-double,2,0.0029
Ammonia,ICEV-d,13m-coach-double,3,0.0029
Ammonia,ICEV-d,13m-coach,3,0.0029
Nitrogen dioxide,ICEV-d,9m,5,0.003043236
Nitrogen dioxide,ICEV-d,13m-city,5,0.003043236
Particulate matters 2.5,ICEV-d,13m-coach,6,0.00315794
Nitrogen dioxide,ICEV-d,18m,5,0.003655497
Nitrogen dioxide,ICEV-d,13m-city-double,5,0.003655497
Particulate matters 2.5,ICEV-d,13m-coach-double,6,0.003693544
Non-methane hydrocarbon,ICEV-d,13m-city,3,0.003752964
Non-methane hydrocarbon,ICEV-d,9m,3,0.003752964
Hydrocarbon,ICEV-d,9m,3,0.00384525
Hydrocarbon,ICEV-d,13m-city,3,0.00384525
Non-methane hydrocarbon,ICEV-g,13m-city,4,0.004019806
Non-methane hydrocarbon,ICEV-g,9m,4,0.004019806
Nitrogen dioxide,ICEV-d,13m-city,4,0.004303594
Nitrogen dioxide,ICEV-d,9m,4,0.004303594
Non-methane hydrocarbon,ICEV-d,9m,2,0.004415376
Non-methane hydrocarbon,ICEV-d,13m-city,2,0.004415376
Hydrocarbon,ICEV-d,13m-city,2,0.004523951
Hydrocarbon,ICEV-d,9m,2,0.004523951
Particulate matters 2.5,ICEV-d,13m-city,1,0.004613466
Particulate matters 2.5,ICEV-d,9m,1,0.004613466
Non-methane hydrocarbon,ICEV-g,18m,4,0.004704469
Non-methane hydrocarbon,ICEV-g,13m-city-double,4,0.004704469
Dinitrogen oxide,ICEV-d,13m-coach,3,0.00475265
Dinitrogen oxide,ICEV-d,13m-coach-double,3,0.00475265
Particulate matters 2.5,ICEV-d,13m-city-double,1,0.004769579
Particulate matters 2.5,ICEV-d,18m,1,0.004769579
Particulate matters 2.5,ICEV-g,13m-coach,6,0.004777239
Particulate matters 2.5,ICEV-g,13m-coach,5,0.00487324
Nitrogen dioxide,ICEV-d,13m-city-double,4,0.005070966
Nitrogen dioxide,ICEV-d,18m,4,0.005070966
Non-methane hydrocarbon,ICEV-d,13m-city-double,3,0.005123571
Non-methane hydrocarbon,ICEV-d,18m,3,0.005123571
Hydrocarbon,ICEV-d,18m,3,0.00524956
Hydrocarbon,ICEV-d,13m-city-double,3,0.00524956
Particulate matters 2.5,ICEV-g,13m-coach-double,6,0.005563615
Particulate matters 2.5,ICEV-g,13m-coach-double,5,0.005686893
Non-methane hydrocarbon,ICEV-d,13m-city-double,2,0.005886312
Non-methane hydrocarbon,ICEV-d,18m,2,0.005886312
Hydrocarbon,ICEV-d,18m,2,0.006031058
Hydrocarbon,ICEV-d,13m-city-double,2,0.006031058
Non-methane hydrocarbon,ICEV-d,9m,1,0.006837928
Non-methane hydrocarbon,ICEV-d,13m-city,1,0.006837928
Hydrocarbon,ICEV-d,9m,1,0.007006073
Hydrocarbon,ICEV-d,13m-city,1,0.007006073
Benzene,ICEV-d,13m-coach,3,0.007331893
Nitrogen dioxide,ICEV-g,9m,6,0.007536169
Nitrogen dioxide,ICEV-g,13m-city,6,0.007536169
Nitrogen dioxide,ICEV-g,18m,6,0.00753617
Nitrogen dioxide,ICEV-g,13m-city-double,6,0.00753617
Benzene,ICEV-d,13m-coach,2,0.007860568
Benzene,ICEV-d,13m-coach-double,3,0.008039394
Dinitrogen oxide,ICEV-d,13m-coach,2,0.008400653
Dinitrogen oxide,ICEV-d,13m-coach-double,2,0.008400653
Dinitrogen oxide,ICEV-d,13m-coach-double,1,0.008648003
Dinitrogen oxide,ICEV-d,13m-coach,1,0.008648003
Benzene,ICEV-d,13m-coach-double,2,0.00877084
Non-methane hydrocarbon,ICEV-d,18m,1,0.009262251
Non-methane hydrocarbon,ICEV-d,13m-city-double,1,0.009262251
